_id,route,route_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
19865,79,79 - EAST HILLS,East Liberty,Bus,8/1/23,202308,SUN.,0.7724,Clever
19866,79,79 - EAST HILLS,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.6397,Clever
19867,8,8 - PERRYSVILLE,Ross,Bus,8/1/23,202308,SAT.,0.8188,Clever
19868,8,8 - PERRYSVILLE,Ross,Bus,8/1/23,202308,SUN.,0.7957,Clever
19869,8,8 - PERRYSVILLE,Ross,Bus,8/1/23,202308,WEEKDAY,0.8025,Clever
19870,81,81 - OAK HILL,West Mifflin,Bus,8/1/23,202308,SAT.,0.6069,Clever
19871,81,81 - OAK HILL,West Mifflin,Bus,8/1/23,202308,SUN.,0.6543,Clever
19872,81,81 - OAK HILL,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.593,Clever
19873,82,82 - LINCOLN,East Liberty,Bus,8/1/23,202308,SAT.,0.5764,Clever
19874,82,82 - LINCOLN,East Liberty,Bus,8/1/23,202308,SUN.,0.6158,Clever
19875,82,82 - LINCOLN,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.61,Clever
19876,83,83 - BEDFORD HILL,West Mifflin,Bus,8/1/23,202308,SAT.,0.5497,Clever
19877,83,83 - BEDFORD HILL,West Mifflin,Bus,8/1/23,202308,SUN.,0.5901,Clever
19878,83,83 - BEDFORD HILL,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.5792,Clever
19879,86,86 - LIBERTY,East Liberty,Bus,8/1/23,202308,SAT.,0.4465,Clever
19880,86,86 - LIBERTY,East Liberty,Bus,8/1/23,202308,SUN.,0.3725,Clever
19881,86,86 - LIBERTY,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.5145,Clever
19882,87,87 - FRIENDSHIP,East Liberty,Bus,8/1/23,202308,SAT.,0.4491,Clever
19883,87,87 - FRIENDSHIP,East Liberty,Bus,8/1/23,202308,SUN.,0.4219,Clever
19884,87,87 - FRIENDSHIP,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.5575,Clever
19885,88,88 - PENN,East Liberty,Bus,8/1/23,202308,SAT.,0.526,Clever
19886,88,88 - PENN,East Liberty,Bus,8/1/23,202308,SUN.,0.5599,Clever
19887,88,88 - PENN,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.5794,Clever
19888,89,89 - GARFIELD COMMONS,East Liberty,Bus,8/1/23,202308,SAT.,0.7624,Clever
19889,89,89 - GARFIELD COMMONS,East Liberty,Bus,8/1/23,202308,SUN.,0.8408,Clever
19890,89,89 - GARFIELD COMMONS,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.6674,Clever
19891,91,91 - BUTLER STREET,Ross,Bus,8/1/23,202308,SAT.,0.6417,Clever
19892,91,91 - BUTLER STREET,Ross,Bus,8/1/23,202308,SUN.,0.6102,Clever
19893,91,91 - BUTLER STREET,Ross,Bus,8/1/23,202308,WEEKDAY,0.5701,Clever
19894,93,93 - LAWRENCEVILLE - HAZELWOOD,West Mifflin,Bus,8/1/23,202308,SAT.,0.55,Clever
19895,93,93 - LAWRENCEVILLE - HAZELWOOD,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.3315,Clever
19896,BLUE,BLUE - SouthHills Village via Overbrook,South Hills Village,Light Rail,8/1/23,202308,SAT.,0.8586,Clever
19897,BLUE,BLUE - SouthHills Village via Overbrook,South Hills Village,Light Rail,8/1/23,202308,SUN.,0.9056,Clever
19898,BLUE,BLUE - SouthHills Village via Overbrook,South Hills Village,Light Rail,8/1/23,202308,WEEKDAY,0.8606,Clever
19899,G2,G2 - WEST BUSWAY,Collier,Bus,8/1/23,202308,SAT.,0.8252,Clever
19900,G2,G2 - WEST BUSWAY,Collier,Bus,8/1/23,202308,SUN.,0.797,Clever
19901,G2,G2 - WEST BUSWAY,Collier,Bus,8/1/23,202308,WEEKDAY,0.835,Clever
19902,G3,G3 - MOON FLYER,Collier,Bus,8/1/23,202308,WEEKDAY,0.6826,Clever
19903,G31,G31 - BRIDGEVILLE FLYER,Collier,Bus,8/1/23,202308,WEEKDAY,0.7784,Clever
19904,O1,O1 - ROSS FLYER,Ross,Bus,8/1/23,202308,WEEKDAY,0.5888,Clever
19905,O12,O12 - MCKNIGHT FLYER,Ross,Bus,8/1/23,202308,WEEKDAY,0.6184,Clever
19906,O5,O5 - THOMPSON RUN FLYER VIA 279,Ross,Bus,8/1/23,202308,WEEKDAY,0.5867,Clever
19907,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,8/1/23,202308,SAT.,0.8256,Clever
19908,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,8/1/23,202308,SUN.,0.8178,Clever
19909,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.7929,Clever
19910,P10,P10 - ALLEGHENY VALLEY FLYER,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.5451,Clever
19911,P12,P12 - HOLIDAY PARK FLYER,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.7176,Clever
19912,P13,P13 - MOUNT ROYAL FLYER,Ross,Bus,8/1/23,202308,WEEKDAY,0.5878,Clever
19913,P16,P16 - PENN HILLS FLYER,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.6225,Clever
19914,P17,P17 - LINCOLN PARK FLYER,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.5938,Clever
19915,P2,P2 - EAST BUSWAY SHORT,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.8069,Clever
19916,P3,P3 - EAST BUSWAY-OAKLAND,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.7841,Clever
19917,P67,P67 - MONROEVILLE FLYER,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.6856,Clever
19918,P68,P68 - BRADDOCK HILLS FLYER,East Liberty,Bus,8/1/23,202308,SAT.,0.652,Clever
19919,P68,P68 - BRADDOCK HILLS FLYER,East Liberty,Bus,8/1/23,202308,SUN.,0.7187,Clever
19920,P68,P68 - BRADDOCK HILLS FLYER,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.6519,Clever
19921,P69,P69 - TRAFFORD FLYER,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.7094,Clever
19922,P7,P7 - MCKEESPORT FLYER,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.7584,Clever
19923,P71,P71 - SWISSVALE FLYER,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.6416,Clever
19924,P76,P76 - LINCOLN HIGHWAY FLYER,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.6112,Clever
19925,P78,P78 - OAKMONT FLYER,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.4954,Clever
19926,RED,RED - Castle Shannon via Beechview,South Hills Village,Light Rail,8/1/23,202308,SAT.,0.8462,Clever
19927,RED,RED - Castle Shannon via Beechview,South Hills Village,Light Rail,8/1/23,202308,SUN.,0.892,Clever
19928,RED,RED - Castle Shannon via Beechview,South Hills Village,Light Rail,8/1/23,202308,WEEKDAY,0.8509,Clever
19929,SLVR,SLVR - Libary via Overbrook,South Hills Village,Light Rail,8/1/23,202308,SAT.,0.7669,Clever
19930,SLVR,SLVR - Libary via Overbrook,South Hills Village,Light Rail,8/1/23,202308,SUN.,0.9072,Clever
19931,SLVR,SLVR - Libary via Overbrook,South Hills Village,Light Rail,8/1/23,202308,WEEKDAY,0.8123,Clever
19932,Y1,Y1 - LARGE FLYER,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.6834,Clever
19933,Y45,Y45 - BALDWIN MANOR FLYER,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.628,Clever
19934,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,8/1/23,202308,SAT.,0.5974,Clever
19935,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,8/1/23,202308,SUN.,0.6992,Clever
19936,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.6964,Clever
19937,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,8/1/23,202308,SAT.,0.6032,Clever
19938,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.714,Clever
19939,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,8/1/23,202308,SAT.,0.6768,Clever
19940,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,8/1/23,202308,SUN.,0.7209,Clever
19941,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.6229,Clever
19942,1,1 - FREEPORT ROAD,Ross,Bus,8/1/23,202308,SAT.,0.6175,Clever
19943,1,1 - FREEPORT ROAD,Ross,Bus,8/1/23,202308,SUN.,0.6207,Clever
19944,1,1 - FREEPORT ROAD,Ross,Bus,8/1/23,202308,WEEKDAY,0.5675,Clever
19945,11,11 - FINEVIEW,Ross,Bus,8/1/23,202308,SAT.,0.749,Clever
19946,11,11 - FINEVIEW,Ross,Bus,8/1/23,202308,SUN.,0.6115,Clever
19947,11,11 - FINEVIEW,Ross,Bus,8/1/23,202308,WEEKDAY,0.7238,Clever
19948,12,12 - MCKNIGHT,Ross,Bus,8/1/23,202308,SAT.,0.6757,Clever
19949,12,12 - MCKNIGHT,Ross,Bus,8/1/23,202308,SUN.,0.7652,Clever
19950,12,12 - MCKNIGHT,Ross,Bus,8/1/23,202308,WEEKDAY,0.5931,Clever
19951,13,13 - BELLEVUE,Ross,Bus,8/1/23,202308,SAT.,0.5405,Clever
19952,13,13 - BELLEVUE,Ross,Bus,8/1/23,202308,SUN.,0.6095,Clever
19953,13,13 - BELLEVUE,Ross,Bus,8/1/23,202308,WEEKDAY,0.6636,Clever
19954,14,14 - OHIO VALLEY,Ross,Bus,8/1/23,202308,SAT.,0.6307,Clever
19955,14,14 - OHIO VALLEY,Ross,Bus,8/1/23,202308,SUN.,0.8744,Clever
19956,14,14 - OHIO VALLEY,Ross,Bus,8/1/23,202308,WEEKDAY,0.7128,Clever
19957,15,15 - CHARLES,Ross,Bus,8/1/23,202308,SAT.,0.2065,Clever
19958,15,15 - CHARLES,Ross,Bus,8/1/23,202308,SUN.,0.311,Clever
19959,15,15 - CHARLES,Ross,Bus,8/1/23,202308,WEEKDAY,0.4496,Clever
19960,16,16 - BRIGHTON,Ross,Bus,8/1/23,202308,SAT.,0.6287,Clever
19961,16,16 - BRIGHTON,Ross,Bus,8/1/23,202308,SUN.,0.6759,Clever
19962,16,16 - BRIGHTON,Ross,Bus,8/1/23,202308,WEEKDAY,0.6974,Clever
19963,17,17 - SHADELAND,Ross,Bus,8/1/23,202308,SAT.,0.637,Clever
19964,17,17 - SHADELAND,Ross,Bus,8/1/23,202308,SUN.,0.6674,Clever
19965,17,17 - SHADELAND,Ross,Bus,8/1/23,202308,WEEKDAY,0.664,Clever
19966,18,18 - MANCHESTER,Ross,Bus,8/1/23,202308,WEEKDAY,0.7648,Clever
19967,19L,19L - EMSWORTH LIMITED,Ross,Bus,8/1/23,202308,WEEKDAY,0.7286,Clever
19968,2,2 - MOUNT ROYAL,Ross,Bus,8/1/23,202308,SAT.,0.7279,Clever
19969,2,2 - MOUNT ROYAL,Ross,Bus,8/1/23,202308,SUN.,0.7397,Clever
19970,2,2 - MOUNT ROYAL,Ross,Bus,8/1/23,202308,WEEKDAY,0.7063,Clever
19971,20,20 - KENNEDY,Collier,Bus,8/1/23,202308,SAT.,0.5124,Clever
19972,20,20 - KENNEDY,Collier,Bus,8/1/23,202308,SUN.,0.6373,Clever
19973,20,20 - KENNEDY,Collier,Bus,8/1/23,202308,WEEKDAY,0.6284,Clever
19974,21,21 - CORAOPOLIS,Collier,Bus,8/1/23,202308,SAT.,0.7669,Clever
19975,21,21 - CORAOPOLIS,Collier,Bus,8/1/23,202308,SUN.,0.7916,Clever
19976,21,21 - CORAOPOLIS,Collier,Bus,8/1/23,202308,WEEKDAY,0.7855,Clever
19977,22,22 - MCCOY,Collier,Bus,8/1/23,202308,SAT.,0.6716,Clever
19978,22,22 - MCCOY,Collier,Bus,8/1/23,202308,SUN.,0.6414,Clever
19979,22,22 - MCCOY,Collier,Bus,8/1/23,202308,WEEKDAY,0.6839,Clever
19980,24,24 - WEST PARK,Collier,Bus,8/1/23,202308,SAT.,0.5517,Clever
19981,24,24 - WEST PARK,Collier,Bus,8/1/23,202308,SUN.,0.4908,Clever
19982,24,24 - WEST PARK,Collier,Bus,8/1/23,202308,WEEKDAY,0.6126,Clever
19983,26,26 - CHARTIERS,Collier,Bus,8/1/23,202308,SAT.,0.8085,Clever
19984,26,26 - CHARTIERS,Collier,Bus,8/1/23,202308,SUN.,0.8876,Clever
19985,26,26 - CHARTIERS,Collier,Bus,8/1/23,202308,WEEKDAY,0.8203,Clever
19986,27,27 - FAIRYWOOD,Collier,Bus,8/1/23,202308,SAT.,0.7928,Clever
19987,27,27 - FAIRYWOOD,Collier,Bus,8/1/23,202308,SUN.,0.8391,Clever
19988,27,27 - FAIRYWOOD,Collier,Bus,8/1/23,202308,WEEKDAY,0.7442,Clever
19989,28X,28X - AIRPORT FLYER,East Liberty,Bus,8/1/23,202308,SAT.,0.5765,Clever
19990,28X,28X - AIRPORT FLYER,East Liberty,Bus,8/1/23,202308,SUN.,0.6858,Clever
19991,28X,28X - AIRPORT FLYER,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.5846,Clever
19992,29,29 - ROBINSON,Collier,Bus,8/1/23,202308,SAT.,0.6954,Clever
19993,29,29 - ROBINSON,Collier,Bus,8/1/23,202308,SUN.,0.7506,Clever
19994,29,29 - ROBINSON,Collier,Bus,8/1/23,202308,WEEKDAY,0.6867,Clever
19995,31,31 - BRIDGEVILLE,Collier,Bus,8/1/23,202308,SAT.,0.6611,Clever
19996,31,31 - BRIDGEVILLE,Collier,Bus,8/1/23,202308,SUN.,0.6154,Clever
19997,31,31 - BRIDGEVILLE,Collier,Bus,8/1/23,202308,WEEKDAY,0.6384,Clever
19998,36,36 - BANKSVILLE,Collier,Bus,8/1/23,202308,SAT.,0.57,Clever
19999,36,36 - BANKSVILLE,Collier,Bus,8/1/23,202308,SUN.,0.604,Clever
20000,36,36 - BANKSVILLE,Collier,Bus,8/1/23,202308,WEEKDAY,0.7424,Clever
20001,38,38 - GREEN TREE,Collier,Bus,8/1/23,202308,SAT.,0.6538,Clever
20002,38,38 - GREEN TREE,Collier,Bus,8/1/23,202308,SUN.,0.7129,Clever
20003,38,38 - GREEN TREE,Collier,Bus,8/1/23,202308,WEEKDAY,0.6641,Clever
20004,39,39 - BROOKLINE,Collier,Bus,8/1/23,202308,SAT.,0.5769,Clever
20005,39,39 - BROOKLINE,Collier,Bus,8/1/23,202308,SUN.,0.8938,Clever
20032,1,1 - FREEPORT ROAD,Ross,Bus,9/1/23,202309,SAT.,0.5922,Clever
20033,1,1 - FREEPORT ROAD,Ross,Bus,9/1/23,202309,SUN.,0.5392,Clever
20034,1,1 - FREEPORT ROAD,Ross,Bus,9/1/23,202309,WEEKDAY,0.4783,Clever
20035,11,11 - FINEVIEW,Ross,Bus,9/1/23,202309,SAT.,0.7275,Clever
20036,11,11 - FINEVIEW,Ross,Bus,9/1/23,202309,SUN.,0.6185,Clever
20037,11,11 - FINEVIEW,Ross,Bus,9/1/23,202309,WEEKDAY,0.7196,Clever
20038,12,12 - MCKNIGHT,Ross,Bus,9/1/23,202309,SAT.,0.6717,Clever
20039,12,12 - MCKNIGHT,Ross,Bus,9/1/23,202309,SUN.,0.8144,Clever
20040,12,12 - MCKNIGHT,Ross,Bus,9/1/23,202309,WEEKDAY,0.6593,Clever
20041,13,13 - BELLEVUE,Ross,Bus,9/1/23,202309,SAT.,0.5641,Clever
20042,13,13 - BELLEVUE,Ross,Bus,9/1/23,202309,SUN.,0.5862,Clever
20043,13,13 - BELLEVUE,Ross,Bus,9/1/23,202309,WEEKDAY,0.6369,Clever
20044,14,14 - OHIO VALLEY,Ross,Bus,9/1/23,202309,SAT.,0.5531,Clever
20045,14,14 - OHIO VALLEY,Ross,Bus,9/1/23,202309,SUN.,0.816,Clever
20046,14,14 - OHIO VALLEY,Ross,Bus,9/1/23,202309,WEEKDAY,0.6813,Clever
20047,15,15 - CHARLES,Ross,Bus,9/1/23,202309,SAT.,0.1572,Clever
20048,15,15 - CHARLES,Ross,Bus,9/1/23,202309,SUN.,0.2258,Clever
20049,15,15 - CHARLES,Ross,Bus,9/1/23,202309,WEEKDAY,0.4264,Clever
20050,16,16 - BRIGHTON,Ross,Bus,9/1/23,202309,SAT.,0.6383,Clever
20051,16,16 - BRIGHTON,Ross,Bus,9/1/23,202309,SUN.,0.6608,Clever
20052,16,16 - BRIGHTON,Ross,Bus,9/1/23,202309,WEEKDAY,0.707,Clever
20053,17,17 - SHADELAND,Ross,Bus,9/1/23,202309,SAT.,0.6771,Clever
20054,17,17 - SHADELAND,Ross,Bus,9/1/23,202309,SUN.,0.6675,Clever
20055,17,17 - SHADELAND,Ross,Bus,9/1/23,202309,WEEKDAY,0.6872,Clever
20056,18,18 - MANCHESTER,Ross,Bus,9/1/23,202309,WEEKDAY,0.7451,Clever
20057,19L,19L - EMSWORTH LIMITED,Ross,Bus,9/1/23,202309,WEEKDAY,0.7062,Clever
20058,2,2 - MOUNT ROYAL,Ross,Bus,9/1/23,202309,SAT.,0.5385,Clever
